key,value,date
Technical/Computing,2,01/25/17
Directional,2,01/25/17
Reference,4,01/25/17
Service,3,01/25/17
Technical/Computing,3,01/26/17
Directional,1,01/26/17
Reference,2,01/26/17
Service,1,01/26/17
Technical/Computing,2,01/27/17
Directional,0,01/27/17
Reference,1,01/27/17
Service,7,01/27/17
Technical/Computing,0,01/28/17
Directional,0,01/28/17
Reference,0,01/28/17
Service,0,01/28/17
Technical/Computing,0,01/29/17
Directional,0,01/29/17
Reference,0,01/29/17
Service,0,01/29/17
Technical/Computing,0,01/30/17
Directional,0,01/30/17
Reference,4,01/30/17
Service,19,01/30/17
Technical/Computing,4,01/31/17
Directional,1,01/31/17
Reference,1,01/31/17
Service,16,01/31/17
Technical/Computing,2,02/01/17
Directional,0,02/01/17
Reference,1,02/01/17
Service,7,02/01/17
Technical/Computing,2,02/02/17
Directional,1,02/02/17
Reference,5,02/02/17
Service,3,02/02/17
Technical/Computing,0,02/03/17
Directional,1,02/03/17
Reference,1,02/03/17
Service,2,02/03/17
Technical/Computing,0,02/04/17
Directional,0,02/04/17
Reference,0,02/04/17
Service,0,02/04/17
Technical/Computing,3,02/05/17
Directional,1,02/05/17
Reference,0,02/05/17
Service,0,02/05/17
Technical/Computing,4,02/06/17
Directional,1,02/06/17
Reference,1,02/06/17
Service,2,02/06/17
Technical/Computing,1,02/07/17
Directional,2,02/07/17
Reference,4,02/07/17
Service,3,02/07/17
Technical/Computing,2,02/08/17
Directional,1,02/08/17
Reference,3,02/08/17
Service,2,02/08/17
Technical/Computing,0,02/09/17
Directional,1,02/09/17
Reference,7,02/09/17
Service,1,02/09/17
Technical/Computing,0,02/10/17
Directional,0,02/10/17
Reference,2,02/10/17
Service,2,02/10/17
Technical/Computing,0,02/11/17
Directional,0,02/11/17
Reference,0,02/11/17
Service,0,02/11/17
Technical/Computing,0,02/12/17
Directional,0,02/12/17
Reference,0,02/12/17
Service,0,02/12/17
Technical/Computing,2,02/13/17
Directional,1,02/13/17
Reference,4,02/13/17
Service,2,02/13/17
Technical/Computing,4,02/14/17
Directional,2,02/14/17
Reference,4,02/14/17
Service,3,02/14/17
Technical/Computing,3,02/15/17
Directional,1,02/15/17
Reference,11,02/15/17
Service,7,02/15/17
Technical/Computing,2,02/16/17
Directional,0,02/16/17
Reference,2,02/16/17
Service,7,02/16/17
Technical/Computing,1,02/17/17
Directional,1,02/17/17
Reference,1,02/17/17
Service,5,02/17/17
Technical/Computing,0,02/18/17
Directional,0,02/18/17
Reference,0,02/18/17
Service,0,02/18/17
Technical/Computing,0,02/19/17
Directional,0,02/19/17
Reference,0,02/19/17
Service,0,02/19/17
Technical/Computing,1,02/20/17
Directional,1,02/20/17
Reference,5,02/20/17
Service,2,02/20/17
Technical/Computing,14,02/21/17
Directional,1,02/21/17
Reference,10,02/21/17
Service,1,02/21/17
Technical/Computing,1,02/22/17
Directional,2,02/22/17
Reference,10,02/22/17
Service,2,02/22/17
Technical/Computing,4,02/23/17
Directional,0,02/23/17
Reference,4,02/23/17
Service,1,02/23/17
Technical/Computing,1,02/24/17
Directional,0,02/24/17
Reference,1,02/24/17
Service,4,02/24/17
Technical/Computing,0,02/25/17
Directional,0,02/25/17
Reference,0,02/25/17
Service,0,02/25/17
Technical/Computing,4,02/26/17
Directional,0,02/26/17
Reference,0,02/26/17
Service,0,02/26/17
Technical/Computing,1,02/27/17
Directional,1,02/27/17
Reference,5,02/27/17
Service,3,02/27/17
Technical/Computing,1,02/28/17
Directional,4,02/28/17
Reference,8,02/28/17
Service,5,02/28/17
Technical/Computing,0,03/01/17
Directional,0,03/01/17
Reference,8,03/01/17
Service,1,03/01/17
Technical/Computing,2,03/02/17
Directional,1,03/02/17
Reference,0,03/02/17
Service,3,03/02/17
Technical/Computing,0,03/03/17
Directional,0,03/03/17
Reference,1,03/03/17
Service,0,03/03/17
Technical/Computing,0,03/04/17
Directional,0,03/04/17
Reference,0,03/04/17
Service,0,03/04/17
Technical/Computing,0,03/05/17
Directional,0,03/05/17
Reference,0,03/05/17
